               shift	                cell	              time_d	                  pH	             Olivine	           Enstatite	           Lizardite	           Magnesite	            Siderite	            Dolomite	       Rhodochrosite	                  Mg	                  Fe	                  Si	                   C	                HCO3	              MgHCO3	              FeHCO3	                 CO3	               CO2aq	          alkalinity	
  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  5.500000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	 -3.163227950933e-03	
  0.000000000000e+00	  1.000000000000e+00	  0.000000000000e+00	  5.500000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	 -3.163227950933e-03	
  1.000000000000e+00	  0.000000000000e+00	  1.500000000000e+01	  8.272647593496e+00	  2.001025274680e-02	  3.215965519817e-02	  4.488739665860e-02	  0.000000000000e+00	  0.000000000000e+00	  1.965040101602e-03	  1.798442796072e-06	  2.658795713895e+01	  3.489763243946e-03	  3.564387833908e+00	  9.345518356115e+01	  9.071617482834e+01	  2.378260386304e-01	  9.983869098773e-11	  9.386245039794e-01	  1.020057436435e+00	  9.420346094521e-01	
  2.000000000000e+00	  0.000000000000e+00	  3.000000000000e+01	  8.276238383611e+00	  1.998056913035e-02	  3.215931045864e-02	  4.488479993010e-02	  0.000000000000e+00	  0.000000000000e+00	  1.993102907611e-03	  5.346823521072e-06	  2.986027854827e+01	  3.493491196882e-03	  7.121086690589e+00	  9.425969626201e+01	  9.148658110523e+01	  2.691167412250e-01	  9.903603658127e-11	  9.549970898063e-01	  1.020055306631e+00	  9.513202550392e-01	
  3.000000000000e+00	  0.000000000000e+00	  4.500000000000e+01	  8.282388860294e+00	  1.995098277270e-02	  3.215896584061e-02	  4.488221623846e-02	  0.000000000000e+00	  0.000000000000e+00	  2.019527100907e-03	  8.894816622396e-06	  3.327555611110e+01	  3.499976974146e-03	  1.066543813540e+01	  9.565093441256e+01	  9.282020339279e+01	  3.038029593138e-01	  9.767479451241e-11	  9.836550441113e-01	  1.020051783331e+00	  9.667182542519e-01	
  4.000000000000e+00	  0.000000000000e+00	  6.000000000000e+01	  8.291205068623e+00	  1.992152908666e-02	  3.215862140641e-02	  4.487965230045e-02	  0.000000000000e+00	  0.000000000000e+00	  2.044132267935e-03	  1.243704651486e-05	  3.684370092608e+01	  3.509511554121e-03	  1.419254547791e+01	  9.768034810664e+01	  9.476533302123e+01	  3.426789281718e-01	  9.575558528079e-11	  1.026218366961e+00	  1.020046740001e+00	  9.887886376024e-01	
  5.000000000000e+00	  0.000000000000e+00	  7.500000000000e+01	  8.302807915847e+00	  1.989224406064e-02	  3.215827721920e-02	  4.487711485118e-02	  0.000000000000e+00	  0.000000000000e+00	  2.066686210844e-03	  1.596771659773e-05	  4.057969428481e+01	  3.522499038229e-03	  1.769745066696e+01	  1.004182806119e+02	  9.738756838108e+01	  3.867480027328e-01	  9.328711453261e-11	  1.085055378236e+00	  1.020040004701e+00	  1.018297132992e+00	
  6.000000000000e+00	  0.000000000000e+00	  9.000000000000e+01	  8.317286937621e+00	  1.986316380240e-02	  3.215793334200e-02	  4.487461051370e-02	  0.000000000000e+00	  0.000000000000e+00	  2.086924013582e-03	  1.948050258850e-05	  4.450179726441e+01	  3.539423479170e-03	  2.117520618905e+01	  1.039465700609e+02	  1.007623949972e+02	  4.372162702825e-01	  9.029634678819e-11	  1.163256944029e+00	  1.020031377468e+00	  1.056141582222e+00	
  7.000000000000e+00	  0.000000000000e+00	  1.050000000000e+02	  8.334629319138e+00	  1.983432329493e-02	  3.215758983535e-02	  4.487214552467e-02	  0.000000000000e+00	  0.000000000000e+00	  2.104588731219e-03	  2.296856270227e-05	  4.862777741437e+01	  3.560772758202e-03	  2.462105480710e+01	  1.083432341032e+02	  1.049601569154e+02	  4.954215156575e-01	  8.684115977547e-11	  1.264436687779e+00	  1.020020666727e+00	  1.103195433235e+00	
  8.000000000000e+00	  0.000000000000e+00	  1.200000000000e+02	  8.354635818640e+00	  1.980575420408e-02	  3.215724675339e-02	  4.486972530098e-02	  0.000000000000e+00	  0.000000000000e+00	  2.119497267492e-03	  2.642480282110e-05	  5.296882877198e+01	  3.586909025512e-03	  2.803073619952e+01	  1.136581260904e+02	  1.100225541094e+02	  5.626627805337e-01	  8.302077687973e-11	  1.392244888655e+00	  1.020007747527e+00	  1.160054464170e+00	
